"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HF.STA.BM18.FE.Q3","","Mean BMI, female (age 18+): Q3","","Mean BMI of female population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.FE.Q4","","Mean BMI, female (age 18+): Q4","","Mean BMI of female population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.FE.Q5","","Mean BMI, female (age 18+): Q5 (highest)","","Mean BMI of female population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.Q1","","Mean BMI, adults (age 18+): Q1 (lowest)","","Mean BMI of population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.Q2","","Mean BMI, adults (age 18+): Q2","","Mean BMI of population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.Q3","","Mean BMI, adults (age 18+): Q3","","Mean BMI of population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.Q4","","Mean BMI, adults (age 18+): Q4","","Mean BMI of population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.Q5","","Mean BMI, adults (age 18+): Q5 (highest)","","Mean BMI of population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BMIN.MA","","Mean BMI, male (age 18+)","","Mean BMI of male population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BMIN.MA.Q1","","Mean BMI, male (age 18+): Q1 (lowest)","","Mean BMI of male population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BMIN.MA.Q2","","Mean BMI, male (age 18+): Q2","","Mean BMI of male population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BMIN.MA.Q3","","Mean BMI, male (age 18+): Q3","","Mean BMI of male population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BMIN.MA.Q4","","Mean BMI, male (age 18+): Q4","","Mean BMI of male population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BMIN.MA.Q5","","Mean BMI, male (age 18+): Q5 (highest)","","Mean BMI of male population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BP18.ZS","","Blood pressure measured in last 12 months (% of population age 18+)","","Percentage of population over 18 having their blood pressure measured by health professional in the last year","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BP18.ZS.Q1","","Blood pressure measured in last 12 months (% of population age 18+): Q1 (lowest)","","Percentage of population over 18 having their blood pressure measured by health professional in the last year","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BP18.ZS.Q2","","Blood pressure measured in last 12 months (% of population age 18+): Q2","","Percentage of population over 18 having their blood pressure measured by health professional in the last year","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BP18.ZS.Q3","","Blood pressure measured in last 12 months (% of population age 18+): Q3","","Percentage of population over 18 having their blood pressure measured by health professional in the last year","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BP18.ZS.Q4","","Blood pressure measured in last 12 months (% of population age 18+): Q4","","Percentage of population over 18 having their blood pressure measured by health professional in the last year","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BP18.ZS.Q5","","Blood pressure measured in last 12 months (% of population age 18+): Q5 (highest)","","Percentage of population over 18 having their blood pressure measured by health professional in the last year","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPDI","","Mean diastolic blood pressure, adult population (mmHg)","","Mean diastolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPDI.Q1","","Mean diastolic blood pressure, adult population (mmHg): Q1 (lowest)","","Mean diastolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPDI.Q2","","Mean diastolic blood pressure, adult population (mmHg): Q2","","Mean diastolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPDI.Q3","","Mean diastolic blood pressure, adult population (mmHg): Q3","","Mean diastolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPDI.Q4","","Mean diastolic blood pressure, adult population (mmHg): Q4","","Mean diastolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPDI.Q5","","Mean diastolic blood pressure, adult population (mmHg): Q5 (highest)","","Mean diastolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPHT.ZS","","High blood pressure or being treated for high blood pressure (% of adult population)","","Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPHT.ZS.Q1","","High blood pressure or being treated for high blood pressure (% of adult population): Q1 (lowest)","","Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPHT.ZS.Q2","","High blood pressure or being treated for high blood pressure (% of adult population): Q2","","Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPHT.ZS.Q3","","High blood pressure or being treated for high blood pressure (% of adult population): Q3","","Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPHT.ZS.Q4","","High blood pressure or being treated for high blood pressure (% of adult population): Q4","","Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPHT.ZS.Q5","","High blood pressure or being treated for high blood pressure (% of adult population): Q5 (highest)","","Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPSY","","Mean systolic blood pressure, adult population (mmHg)","","Mean systolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPSY.Q1","","Mean systolic blood pressure, adult population (mmHg): Q1 (lowest)","","Mean systolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPSY.Q2","","Mean systolic blood pressure, adult population (mmHg): Q2","","Mean systolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPSY.Q3","","Mean systolic blood pressure, adult population (mmHg): Q3","","Mean systolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPSY.Q4","","Mean systolic blood pressure, adult population (mmHg): Q4","","Mean systolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPSY.Q5","","Mean systolic blood pressure, adult population (mmHg): Q5 (highest)","","Mean systolic blood pressure (mmHg) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPTR.ZS","","Treated for high blood pressure (% of adult population)","","Percentage of adult population being treated for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPTR.ZS.Q1","","Treated for high blood pressure (% of adult population): Q1 (lowest)","","Percentage of adult population being treated for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPTR.ZS.Q2","","Treated for high blood pressure (% of adult population): Q2","","Percentage of adult population being treated for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPTR.ZS.Q3","","Treated for high blood pressure (% of adult population): Q3","","Percentage of adult population being treated for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPTR.ZS.Q4","","Treated for high blood pressure (% of adult population): Q4","","Percentage of adult population being treated for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BPTR.ZS.Q5","","Treated for high blood pressure (% of adult population): Q5 (highest)","","Percentage of adult population being treated for high blood pressure (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BRTC.ZS","","Births attended by skilled health staff (% of total)","","Percentage of most recent births in last 2 years attended by any skilled health personnel (women age 15-49 at the time of the survey). Definition of skilled varies by country and survey but always includes doctor, nurse, midwife and auxiliary midwife).","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BRTC.ZS.Q1","","Births attended by skilled health staff (% of total): Q1 (lowest)","","Percentage of most recent births in last 2 years attended by any skilled health personnel (women age 15-49 at the time of the survey). Definition of skilled varies by country and survey but always includes doctor, nurse, midwife and auxiliary midwife).","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BRTC.ZS.Q2","","Births attended by skilled health staff (% of total): Q2","","Percentage of most recent births in last 2 years attended by any skilled health personnel (women age 15-49 at the time of the survey). Definition of skilled varies by country and survey but always includes doctor, nurse, midwife and auxiliary midwife).","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BRTC.ZS.Q3","","Births attended by skilled health staff (% of total): Q3","","Percentage of most recent births in last 2 years attended by any skilled health personnel (women age 15-49 at the time of the survey). Definition of skilled varies by country and survey but always includes doctor, nurse, midwife and auxiliary midwife).","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BRTC.ZS.Q4","","Births attended by skilled health staff (% of total): Q4","","Percentage of most recent births in last 2 years attended by any skilled health personnel (women age 15-49 at the time of the survey). Definition of skilled varies by country and survey but always includes doctor, nurse, midwife and auxiliary midwife).","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BRTC.ZS.Q5","","Births attended by skilled health staff (% of total): Q5 (highest)","","Percentage of most recent births in last 2 years attended by any skilled health personnel (women age 15-49 at the time of the survey). Definition of skilled varies by country and survey but always includes doctor, nurse, midwife and auxiliary midwife).","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOL","","Mean cholesterol, adult population (mmol/L)","","Mean cholesterol (mmol/L) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOL.ZS","","High cholesterol or on treatment for high cholesterol (% of adult population)","","Percentage of adult population with high cholesterol or on treatment for high cholesterol (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOM.ZS","","Cholesterol measured in last five years (% of population at risk of high cholesterol)","","Percentage of adult population at risk (overweight or obese and older than 20, male and older than 34) having their cholesterol levels measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOM.ZS.Q1","","Cholesterol measured in last five years (% of population at risk of high cholesterol): Q1 (lowest)","","Percentage of adult population at risk (overweight or obese and older than 20, male and older than 34) having their cholesterol levels measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOM.ZS.Q2","","Cholesterol measured in last five years (% of population at risk of high cholesterol): Q2","","Percentage of adult population at risk (overweight or obese and older than 20, male and older than 34) having their cholesterol levels measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOM.ZS.Q3","","Cholesterol measured in last five years (% of population at risk of high cholesterol): Q3","","Percentage of adult population at risk (overweight or obese and older than 20, male and older than 34) having their cholesterol levels measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOM.ZS.Q4","","Cholesterol measured in last five years (% of population at risk of high cholesterol): Q4","","Percentage of adult population at risk (overweight or obese and older than 20, male and older than 34) having their cholesterol levels measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.CHOM.ZS.Q5","","Cholesterol measured in last five years (% of population at risk of high cholesterol): Q5 (highest)","","Percentage of adult population at risk (overweight or obese and older than 20, male and older than 34) having their cholesterol levels measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.DIAB.ZS","","Treated for raised blood glucose or diabetes (% of adult population)","","Percentage of adult population being treated for raised blood glucose or diabetes (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.DIAB.ZS.Q1","","Treated for raised blood glucose or diabetes (% of adult population): Q1 (lowest)","","Percentage of adult population being treated for raised blood glucose or diabetes (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.DIAB.ZS.Q2","","Treated for raised blood glucose or diabetes (% of adult population): Q2","","Percentage of adult population being treated for raised blood glucose or diabetes (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.DIAB.ZS.Q3","","Treated for raised blood glucose or diabetes (% of adult population): Q3","","Percentage of adult population being treated for raised blood glucose or diabetes (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.DIAB.ZS.Q4","","Treated for raised blood glucose or diabetes (% of adult population): Q4","","Percentage of adult population being treated for raised blood glucose or diabetes (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.DIAB.ZS.Q5","","Treated for raised blood glucose or diabetes (% of adult population): Q5 (highest)","","Percentage of adult population being treated for raised blood glucose or diabetes (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.GLUC","","Mean fasting blood glucose, adult population (mmol/L)","","Mean fasting blood glucose (mmol/L) in adult population (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.GLYC.ZS","","Impaired fasting glycaemia (% of adult population)","","Percentage of adult population with impaired fasting glycaemia (age-range may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE15.FE","","Mean height in meters, female, (age 15-49)","","Mean height in meters of females aged 15-49","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE15.FE.Q1","","Mean height in meters, female, (age 15-49): Q1 (lowest)","","Mean height in meters of females aged 15-49","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE15.FE.Q2","","Mean height in meters, female, (age 15-49): Q2","","Mean height in meters of females aged 15-49","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE15.FE.Q3","","Mean height in meters, female, (age 15-49): Q3","","Mean height in meters of females aged 15-49","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE15.FE.Q4","","Mean height in meters, female, (age 15-49): Q4","","Mean height in meters of females aged 15-49","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE15.FE.Q5","","Mean height in meters, female, (age 15-49): Q5 (highest)","","Mean height in meters of females aged 15-49","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18","","Mean height in meters, adults (age 18+)","","Mean height in meters of population aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.FE","","Mean height in meters, female (age 18+)","","Mean height in meters of females aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.FE.Q1","","Mean height in meters, female (age 18+): Q1 (lowest)","","Mean height in meters of females aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.FE.Q2","","Mean height in meters, female (age 18+): Q2","","Mean height in meters of females aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.FE.Q3","","Mean height in meters, female (age 18+): Q3","","Mean height in meters of females aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.FE.Q4","","Mean height in meters, female (age 18+): Q4","","Mean height in meters of females aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.FE.Q5","","Mean height in meters, female (age 18+): Q5 (highest)","","Mean height in meters of females aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.MA","","Mean height in meters, male (age 18+)","","Mean height in meters of males aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.MA.Q1","","Mean height in meters, male (age 18+): Q1 (lowest)","","Mean height in meters of males aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.MA.Q2","","Mean height in meters, male (age 18+): Q2","","Mean height in meters of males aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.MA.Q3","","Mean height in meters, male (age 18+): Q3","","Mean height in meters of males aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.MA.Q4","","Mean height in meters, male (age 18+): Q4","","Mean height in meters of males aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.MA.Q5","","Mean height in meters, male (age 18+): Q5 (highest)","","Mean height in meters of males aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.Q1","","Mean height in meters, adults (age 18+): Q1 (lowest)","","Mean height in meters of population aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.Q2","","Mean height in meters, adults (age 18+): Q2","","Mean height in meters of population aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.Q3","","Mean height in meters, adults (age 18+): Q3","","Mean height in meters of population aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.Q4","","Mean height in meters, adults (age 18+): Q4","","Mean height in meters of population aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.HE18.Q5","","Mean height in meters, adults (age 18+): Q5 (highest)","","Mean height in meters of population aged 18 and older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.INPT.ZS","","Inpatient care use in last 12 months (% of population 18+)","","Percentage of population age 18 and older using inpatient care in the last 12 months","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.INPT.ZS.Q1","","Inpatient care use in last 12 months (% of population 18+): Q1 (lowest)","","Percentage of population age 18 and older using inpatient care in the last 12 months","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.INPT.ZS.Q2","","Inpatient care use in last 12 months (% of population 18+): Q2","","Percentage of population age 18 and older using inpatient care in the last 12 months","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.INPT.ZS.Q3","","Inpatient care use in last 12 months (% of population 18+): Q3","","Percentage of population age 18 and older using inpatient care in the last 12 months","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.INPT.ZS.Q4","","Inpatient care use in last 12 months (% of population 18+): Q4","","Percentage of population age 18 and older using inpatient care in the last 12 months","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.INPT.ZS.Q5","","Inpatient care use in last 12 months (% of population 18+): Q5 (highest)","","Percentage of population age 18 and older using inpatient care in the last 12 months","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MALN.ZS","","Prevalence of underweight, weight for age (% of children under 5)","","Percentage of children under 5 with a Weight-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MALN.ZS.Q1","","Prevalence of underweight, weight for age (% of children under 5): Q1 (lowest)","","Percentage of children under 5 with a Weight-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MALN.ZS.Q2","","Prevalence of underweight, weight for age (% of children under 5): Q2","","Percentage of children under 5 with a Weight-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MALN.ZS.Q3","","Prevalence of underweight, weight for age (% of children under 5): Q3","","Percentage of children under 5 with a Weight-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MALN.ZS.Q4","","Prevalence of underweight, weight for age (% of children under 5): Q4","","Percentage of children under 5 with a Weight-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MALN.ZS.Q5","","Prevalence of underweight, weight for age (% of children under 5): Q5 (highest)","","Percentage of children under 5 with a Weight-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MAMO.ZS","","Mammography in last 2 years, (% of females 50-69)","","Percentage of women who received a mammogram in the last 2 years (preferably age 50-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MAMO.ZS.Q1","","Mammography in last 2 years, (% of females 50-69): Q1 (lowest)","","Percentage of women who received a mammogram in the last 2 years (preferably age 50-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MAMO.ZS.Q2","","Mammography in last 2 years, (% of females 50-69): Q2","","Percentage of women who received a mammogram in the last 2 years (preferably age 50-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MAMO.ZS.Q3","","Mammography in last 2 years, (% of females 50-69): Q3","","Percentage of women who received a mammogram in the last 2 years (preferably age 50-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MAMO.ZS.Q4","","Mammography in last 2 years, (% of females 50-69): Q4","","Percentage of women who received a mammogram in the last 2 years (preferably age 50-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.MAMO.ZS.Q5","","Mammography in last 2 years, (% of females 50-69): Q5 (highest)","","Percentage of women who received a mammogram in the last 2 years (preferably age 50-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB15.FE.ZS","","Prevalence of obesity, female, BMI > 30 (% of population 15-49)","","Percentage of females aged 15-49 with BMI above 30 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB15.FE.ZS.Q1","","Prevalence of obesity, female, BMI > 30 (% of population 15-49): Q1 (lowest)","","Percentage of females aged 15-49 with BMI above 30 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB15.FE.ZS.Q2","","Prevalence of obesity, female, BMI > 30 (% of population 15-49): Q2","","Percentage of females aged 15-49 with BMI above 30 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB15.FE.ZS.Q3","","Prevalence of obesity, female, BMI > 30 (% of population 15-49): Q3","","Percentage of females aged 15-49 with BMI above 30 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB15.FE.ZS.Q4","","Prevalence of obesity, female, BMI > 30 (% of population 15-49): Q4","","Percentage of females aged 15-49 with BMI above 30 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
